
Concurrency: 10 | Throughput: 1141.819508 | median: 7.810964 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002478082s | size: 68493 | mean: 8.755246 | min: 6.381217 | max: 2811.733260
Concurrency: 10 | Throughput: 1015.681168 | median: 7.816781 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001112489s | size: 60922 | mean: 9.844522 | min: 6.393596 | max: 5953.850273
Concurrency: 10 | Throughput: 1174.932379 | median: 7.950091 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003453201s | size: 70480 | mean: 8.508775 | min: 6.392431 | max: 40.906444
Concurrency: 10 | Throughput: 1184.691459 | median: 7.880945 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000432566s | size: 71063 | mean: 8.438535 | min: 6.356788 | max: 50.108096
Concurrency: 20 | Throughput: 1818.853391 | median: 8.409553 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005386108s | size: 109101 | mean: 10.994039 | min: 6.421144 | max: 5207.481556
Concurrency: 20 | Throughput: 1954.634832 | median: 8.437361 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005070032s | size: 117248 | mean: 10.230565 | min: 6.373789 | max: 4828.021224
Concurrency: 20 | Throughput: 2097.850119 | median: 8.571116 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00428671s | size: 125840 | mean: 9.530053 | min: 6.393843 | max: 1380.162795
Concurrency: 20 | Throughput: 2010.763335 | median: 8.492385 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003083353s | size: 120613 | mean: 9.943876 | min: 6.380174 | max: 4275.327853
Concurrency: 20 | Throughput: 2186.529977 | median: 8.444763 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000092112s | size: 131152 | mean: 9.144017 | min: 6.361739 | max: 60.185067
Concurrency: 30 | Throughput: 2893.852926 | median: 9.517857 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000630461s | size: 173574 | mean: 10.364880 | min: 6.434113 | max: 63.558947
Concurrency: 30 | Throughput: 2973.778967 | median: 9.259097 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00345083s | size: 178377 | mean: 10.086216 | min: 6.380441 | max: 71.054536
Concurrency: 30 | Throughput: 2828.683005 | median: 9.390602 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000360495s | size: 169662 | mean: 10.603440 | min: 6.426054 | max: 2088.167332
Concurrency: 30 | Throughput: 2701.100119 | median: 9.160893 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004810205s | size: 162020 | mean: 11.104282 | min: 6.419538 | max: 5994.485217
Concurrency: 30 | Throughput: 2908.707684 | median: 9.496454 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00156048s | size: 174467 | mean: 10.310189 | min: 6.413962 | max: 55.005841
Concurrency: 60 | Throughput: 4033.164346 | median: 13.695236 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006233133s | size: 241896 | mean: 14.874092 | min: 6.543504 | max: 117.061538
Concurrency: 60 | Throughput: 3982.912321 | median: 13.930296 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001069748s | size: 238859 | mean: 15.060609 | min: 6.534621 | max: 82.203310
Concurrency: 60 | Throughput: 4098.674262 | median: 13.496519 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005500387s | size: 245823 | mean: 14.635766 | min: 6.416071 | max: 87.185229
Concurrency: 60 | Throughput: 3153.133235 | median: 13.965349 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000953308s | size: 189072 | mean: 19.029163 | min: 6.554667 | max: 12395.192769
Concurrency: 60 | Throughput: 3968.078888 | median: 13.991255 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002335323s | size: 237976 | mean: 15.116757 | min: 6.570854 | max: 109.099896
Concurrency: 80 | Throughput: 4106.135611 | median: 17.307403 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002645633s | size: 246218 | mean: 19.478917 | min: 6.719926 | max: 2540.360388
Concurrency: 80 | Throughput: 4411.958342 | median: 16.773792 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002153124s | size: 264566 | mean: 18.130767 | min: 6.609269 | max: 134.120021
Concurrency: 80 | Throughput: 3380.377975 | median: 17.187983 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004236658s | size: 202677 | mean: 23.667888 | min: 6.484945 | max: 6899.500006
Concurrency: 80 | Throughput: 3912.897591 | median: 16.811396 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000803632s | size: 234617 | mean: 20.443596 | min: 6.529788 | max: 6731.226996
Concurrency: 80 | Throughput: 4175.180943 | median: 17.540400 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001950442s | size: 250359 | mean: 19.156539 | min: 6.615138 | max: 136.130130
Concurrency: 100 | Throughput: 4086.899638 | median: 20.536189 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000494685s | size: 245016 | mean: 24.467006 | min: 6.685751 | max: 5759.703579
Concurrency: 100 | Throughput: 3674.778908 | median: 21.675861 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000344372s | size: 220288 | mean: 27.215695 | min: 6.552023 | max: 6315.666713
Concurrency: 100 | Throughput: 4685.074767 | median: 19.922610 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000323155s | size: 280907 | mean: 21.335690 | min: 6.676387 | max: 129.054570
Concurrency: 100 | Throughput: 3916.663721 | median: 21.397863 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002853644s | size: 234811 | mean: 25.521796 | min: 6.659126 | max: 6235.662050
Concurrency: 100 | Throughput: 4429.792058 | median: 20.841724 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004170974s | size: 265606 | mean: 22.568497 | min: 6.732307 | max: 162.265109
Concurrency: 200 | Throughput: 3949.699714 | median: 42.830887 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001523452s | size: 236666 | mean: 50.621393 | min: 6.772670 | max: 5818.918243
Concurrency: 200 | Throughput: 4911.550460 | median: 38.311873 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001012383s | size: 294299 | mean: 40.706389 | min: 6.788594 | max: 166.775304
Concurrency: 200 | Throughput: 4025.186085 | median: 37.492789 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000455855s | size: 241113 | mean: 49.692005 | min: 6.759631 | max: 6125.482858
Concurrency: 200 | Throughput: 4784.254613 | median: 38.811990 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004540571s | size: 286677 | mean: 41.787423 | min: 6.696825 | max: 331.058648
Concurrency: 200 | Throughput: 4628.091392 | median: 40.695393 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000543746s | size: 277290 | mean: 43.208100 | min: 6.658720 | max: 171.638029
Concurrency: 300 | Throughput: 5019.431091 | median: 57.274779 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.017957128s | size: 300680 | mean: 59.752922 | min: 6.578790 | max: 235.694566
Concurrency: 300 | Throughput: 4699.755975 | median: 60.548185 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.065884593s | size: 281799 | mean: 63.719775 | min: 6.731338 | max: 218.488479
Concurrency: 300 | Throughput: 4972.907951 | median: 57.632937 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00030625s | size: 297776 | mean: 60.338421 | min: 6.864179 | max: 283.232986
Concurrency: 300 | Throughput: 4693.734911 | median: 60.929440 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000618981s | size: 281027 | mean: 63.888511 | min: 7.051413 | max: 235.371697
Concurrency: 300 | Throughput: 5175.685936 | median: 55.371799 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000549461s | size: 309944 | mean: 57.916680 | min: 6.782490 | max: 248.579844
Concurrency: 600 | Throughput: 5387.384442 | median: 108.395997 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002586311s | size: 322057 | mean: 111.492983 | min: 6.840725 | max: 358.656229
Concurrency: 600 | Throughput: 5219.747530 | median: 109.952295 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.058651918s | size: 312471 | mean: 114.744119 | min: 6.810783 | max: 385.399063
Concurrency: 600 | Throughput: 5304.786884 | median: 109.989073 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000525371s | size: 317092 | mean: 113.134420 | min: 7.447744 | max: 317.086948
Concurrency: 600 | Throughput: 5250.774116 | median: 111.265209 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.008485038s | size: 313891 | mean: 114.284356 | min: 7.016232 | max: 315.417398
Concurrency: 600 | Throughput: 5314.776503 | median: 108.474451 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001582352s | size: 317695 | mean: 112.969422 | min: 6.990901 | max: 364.131099
Concurrency: 800 | Throughput: 5321.498968 | median: 145.676821 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.016736252s | size: 317779 | mean: 150.649092 | min: 6.969338 | max: 418.859079
Concurrency: 800 | Throughput: 3614.135551 | median: 169.694751 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003006796s | size: 215259 | mean: 222.216537 | min: 8.158913 | max: 6412.811887
Concurrency: 800 | Throughput: 4607.665825 | median: 152.341490 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000879079s | size: 274864 | mean: 174.099213 | min: 7.082086 | max: 6045.007481
Concurrency: 800 | Throughput: 3914.867430 | median: 161.471009 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m3.616713573s | size: 247452 | mean: 186.309600 | min: 7.094793 | max: 6509.202343
Concurrency: 800 | Throughput: 5205.011695 | median: 148.367747 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005628867s | size: 310729 | mean: 153.973535 | min: 0.047813 | max: 499.717457
Concurrency: 1000 | Throughput: 4933.074690 | median: 188.007628 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002334978s | size: 293996 | mean: 202.576950 | min: 0.048404 | max: 4574.181400
Concurrency: 1000 | Throughput: 4365.709131 | median: 183.432406 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000332619s | size: 259944 | mean: 229.749469 | min: 0.044567 | max: 12342.267780
Concurrency: 1000 | Throughput: 4788.521719 | median: 181.041253 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000145527s | size: 285312 | mean: 209.383630 | min: 0.041659 | max: 6580.323332
Concurrency: 1000 | Throughput: 4722.078697 | median: 183.690702 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000905999s | size: 281336 | mean: 212.283795 | min: 0.042634 | max: 6296.290544
Concurrency: 1000 | Throughput: 4917.978062 | median: 184.957262 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.506369948s | size: 295571 | mean: 196.489133 | min: 0.041958 | max: 6477.791520
