Concurrency: 10 | Throughput: 1105.362172 | median: 8.242341 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00205335s | size: 66304 | mean: 9.044202 | min: 6.477278 | max: 294.308307
Concurrency: 10 | Throughput: 795.897049 | median: 8.361466 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000222464s | size: 47734 | mean: 12.562264 | min: 6.497874 | max: 6312.956349
Concurrency: 10 | Throughput: 844.728873 | median: 8.345557 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.007419677s | size: 50670 | mean: 11.836958 | min: 6.494211 | max: 13239.091164
Concurrency: 10 | Throughput: 393.362248 | median: 8.386421 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000673951s | size: 23592 | mean: 25.427380 | min: 6.564373 | max: 12756.977876
Concurrency: 10 | Throughput: 739.872524 | median: 8.441309 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m4.517870928s | size: 47715 | mean: 12.340994 | min: 6.503828 | max: 12847.282016
Concurrency: 20 | Throughput: 1603.269776 | median: 9.178443 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m2.854674559s | size: 100732 | mean: 11.463134 | min: 6.511876 | max: 4053.176135
Concurrency: 20 | Throughput: 1808.381029 | median: 9.154202 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000629423s | size: 108464 | mean: 11.058937 | min: 6.530106 | max: 4836.742045
Concurrency: 20 | Throughput: 1491.888984 | median: 9.148717 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000443036s | size: 89476 | mean: 13.405034 | min: 6.518100 | max: 13317.578096
Concurrency: 20 | Throughput: 1644.880447 | median: 9.228365 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001321189s | size: 98655 | mean: 12.154882 | min: 6.495395 | max: 5040.918743
Concurrency: 20 | Throughput: 1607.925803 | median: 9.326595 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m2.210582002s | size: 99990 | mean: 11.419694 | min: 6.477590 | max: 5366.176531

Concurrency: 30 | Throughput: 2095.517726 | median: 10.585179 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003310125s | size: 125684 | mean: 14.312797 | min: 6.534007 | max: 5848.532327
Concurrency: 30 | Throughput: 1901.580316 | median: 10.755422 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003250482s | size: 114042 | mean: 15.775605 | min: 6.540525 | max: 12048.909981
Concurrency: 30 | Throughput: 2304.498436 | median: 11.437242 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001776468s | size: 138214 | mean: 13.011102 | min: 6.499544 | max: 337.930020
Concurrency: 30 | Throughput: 2178.586214 | median: 11.553820 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00175673s | size: 130659 | mean: 13.767821 | min: 6.544662 | max: 4640.355773
Concurrency: 60 | Throughput: 2632.942526 | median: 18.318960 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002449149s | size: 157863 | mean: 22.783562 | min: 6.682639 | max: 5953.279427
Concurrency: 60 | Throughput: 2661.774954 | median: 18.007742 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000564577s | size: 159589 | mean: 22.539622 | min: 6.613998 | max: 5361.715179
Concurrency: 60 | Throughput: 2735.809859 | median: 18.043379 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003073475s | size: 164037 | mean: 21.928965 | min: 6.684665 | max: 6280.712030
Concurrency: 60 | Throughput: 3130.509490 | median: 17.402967 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000776417s | size: 187714 | mean: 19.162568 | min: 6.669142 | max: 301.815004
Concurrency: 60 | Throughput: 2126.449176 | median: 19.933234 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005666454s | size: 127480 | mean: 28.214833 | min: 6.748719 | max: 6987.379932
Concurrency: 80 | Throughput: 3004.071049 | median: 23.492150 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002242645s | size: 180091 | mean: 26.626958 | min: 6.730445 | max: 852.358848
Concurrency: 80 | Throughput: 2098.923392 | median: 22.222612 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002666346s | size: 125782 | mean: 38.126285 | min: 6.628249 | max: 12016.505391
Concurrency: 80 | Throughput: 2250.992283 | median: 24.498230 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004203925s | size: 134908 | mean: 35.537828 | min: 6.873285 | max: 6144.718958
Concurrency: 80 | Throughput: 1890.356836 | median: 21.107768 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00189902s | size: 113266 | mean: 42.354646 | min: 6.651031 | max: 13467.425129
Concurrency: 80 | Throughput: 2674.254329 | median: 21.484558 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001772551s | size: 160300 | mean: 29.924740 | min: 6.741654 | max: 12630.592782
Concurrency: 100 | Throughput: 3205.109701 | median: 27.993978 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000754399s | size: 192110 | mean: 31.186016 | min: 6.796326 | max: 1364.515108
Concurrency: 100 | Throughput: 3257.752824 | median: 25.503961 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.010691584s | size: 195301 | mean: 30.693762 | min: 6.703435 | max: 6446.582380
Concurrency: 100 | Throughput: 2704.508602 | median: 25.163155 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000548669s | size: 162072 | mean: 36.986104 | min: 7.017152 | max: 10455.570171
Concurrency: 100 | Throughput: 2284.956612 | median: 38.166581 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.085167178s | size: 137075 | mean: 43.680413 | min: 7.232065 | max: 321.800534
Concurrency: 100 | Throughput: 1612.054685 | median: 28.417753 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001066276s | size: 96525 | mean: 62.118858 | min: 7.552472 | max: 12966.509361
Concurrency: 200 | Throughput: 2390.653381 | median: 65.184555 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005771272s | size: 143054 | mean: 83.741798 | min: 6.828731 | max: 5107.869371
Concurrency: 200 | Throughput: 2477.983016 | median: 57.080226 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.010500083s | size: 148305 | mean: 80.778953 | min: 6.804439 | max: 6371.021695
Concurrency: 200 | Throughput: 3191.513450 | median: 52.422764 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002567129s | size: 191099 | mean: 62.671968 | min: 6.808572 | max: 4154.260439
Concurrency: 200 | Throughput: 2764.659282 | median: 52.380417 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000521979s | size: 165481 | mean: 72.449459 | min: 6.906873 | max: 6364.086314
Concurrency: 200 | Throughput: 2374.272190 | median: 52.589097 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001966335s | size: 142061 | mean: 84.363349 | min: 7.098452 | max: 6971.671631

Concurrency: 300 | Throughput: 2598.749163 | median: 84.523442 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001558529s | size: 155329 | mean: 115.626933 | min: 6.976994 | max: 6067.887919
Concurrency: 300 | Throughput: 2377.031363 | median: 84.912243 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.781263082s | size: 146256 | mean: 115.380246 | min: 7.363385 | max: 5919.266178
Concurrency: 300 | Throughput: 3630.953218 | median: 78.741212 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000497649s | size: 217260 | mean: 82.712848 | min: 6.947513 | max: 438.511490
Concurrency: 300 | Throughput: 2320.133495 | median: 71.370811 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.487841229s | size: 142060 | mean: 101.725287 | min: 6.887856 | max: 13326.254929
Concurrency: 600 | Throughput: 1483.708922 | median: 169.769376 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m6.753659388s | size: 97843 | mean: 243.281733 | min: 7.837923 | max: 27051.182909
