Concurrency: 10 | Throughput: 955.209030 | median: 8.198990 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001526565s | size: 57294 | mean: 10.467470 | min: 6.506989 | max: 5798.534788
Concurrency: 10 | Throughput: 983.950728 | median: 8.224427 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000971925s | size: 59018 | mean: 10.161683 | min: 6.527006 | max: 6319.012667
Concurrency: 10 | Throughput: 895.243723 | median: 8.224482 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m3.520132636s | size: 56846 | mean: 10.155933 | min: 6.481369 | max: 6402.975556
Concurrency: 10 | Throughput: 904.923342 | median: 8.144386 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.103433614s | size: 54369 | mean: 10.001960 | min: 6.481051 | max: 6328.445126
Concurrency: 10 | Throughput: 870.604215 | median: 8.192815 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000858119s | size: 52218 | mean: 11.485629 | min: 6.498237 | max: 6197.233781
Concurrency: 20 | Throughput: 2002.652853 | median: 9.115264 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002411208s | size: 120123 | mean: 9.984122 | min: 6.466790 | max: 272.252823
Concurrency: 20 | Throughput: 1683.763488 | median: 9.381740 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001301102s | size: 100989 | mean: 11.872098 | min: 6.533671 | max: 5370.784465
Concurrency: 20 | Throughput: 1856.944683 | median: 8.997019 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002325861s | size: 111381 | mean: 10.768864 | min: 6.537919 | max: 5111.703560
Concurrency: 20 | Throughput: 1154.211739 | median: 9.272860 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004588109s | size: 69219 | mean: 17.330571 | min: 6.558131 | max: 6477.504706
Concurrency: 20 | Throughput: 1386.701879 | median: 9.573655 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000639825s | size: 83164 | mean: 14.422527 | min: 6.515906 | max: 6391.985894
Concurrency: 30 | Throughput: 2109.736632 | median: 10.702582 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.787333091s | size: 130298 | mean: 13.099355 | min: 6.560678 | max: 5616.835894
Concurrency: 30 | Throughput: 1708.279041 | median: 11.050879 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003077688s | size: 102442 | mean: 17.562855 | min: 6.537800 | max: 12473.892850
Concurrency: 30 | Throughput: 2334.379906 | median: 10.498029 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001373231s | size: 140006 | mean: 12.849093 | min: 6.488816 | max: 5779.023155
Concurrency: 30 | Throughput: 2100.190377 | median: 10.745170 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004084085s | size: 125960 | mean: 14.277326 | min: 6.598921 | max: 5759.911107
Concurrency: 30 | Throughput: 2233.819963 | median: 11.378210 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002597445s | size: 133991 | mean: 13.424509 | min: 6.568134 | max: 2300.020093
Concurrency: 60 | Throughput: 2791.500161 | median: 18.005102 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.0017877s | size: 167375 | mean: 21.491245 | min: 6.729397 | max: 5711.509863
Concurrency: 60 | Throughput: 1887.210322 | median: 18.559388 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000201728s | size: 113113 | mean: 31.805437 | min: 6.769614 | max: 6928.872580
Concurrency: 60 | Throughput: 1476.971005 | median: 17.842058 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00185494s | size: 88501 | mean: 40.659868 | min: 6.732254 | max: 25279.191880
Concurrency: 60 | Throughput: 3210.982565 | median: 16.603007 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004374397s | size: 192553 | mean: 18.684426 | min: 6.721443 | max: 1746.479313

Concurrency: 80 | Throughput: 2570.069885 | median: 21.143639 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000313972s | size: 154045 | mean: 31.138733 | min: 6.949887 | max: 6166.850348
Concurrency: 80 | Throughput: 2691.227066 | median: 22.636068 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000511313s | size: 161315 | mean: 29.726451 | min: 6.710409 | max: 5372.092077
Concurrency: 80 | Throughput: 1339.386710 | median: 23.748033 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000595352s | size: 80204 | mean: 59.828262 | min: 7.018876 | max: 15710.733163
Concurrency: 80 | Throughput: 2601.542458 | median: 22.481072 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000173945s | size: 155933 | mean: 30.762284 | min: 6.720096 | max: 6842.852284
Concurrency: 80 | Throughput: 2844.125725 | median: 22.397382 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002270117s | size: 170494 | mean: 28.133820 | min: 6.934660 | max: 6430.439808
Concurrency: 100 | Throughput: 2356.857873 | median: 26.501870 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003193926s | size: 141219 | mean: 42.445955 | min: 6.733139 | max: 12976.697986
Concurrency: 100 | Throughput: 2691.999786 | median: 29.183239 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001119186s | size: 161323 | mean: 37.152212 | min: 6.938509 | max: 5739.858980
Concurrency: 100 | Throughput: 3484.036830 | median: 26.479474 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000800849s | size: 208847 | mean: 28.691656 | min: 6.657351 | max: 365.265138
Concurrency: 100 | Throughput: 2841.624693 | median: 26.656741 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.023760494s | size: 170365 | mean: 35.201945 | min: 6.740808 | max: 6003.897111
Concurrency: 100 | Throughput: 3022.965448 | median: 27.295934 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003662998s | size: 181190 | mean: 33.075132 | min: 6.982923 | max: 6174.548255
Concurrency: 200 | Throughput: 2802.447686 | median: 53.411650 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.007186167s | size: 167768 | mean: 71.422138 | min: 6.953852 | max: 6391.653365
Concurrency: 200 | Throughput: 3200.516549 | median: 53.404361 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000939556s | size: 191636 | mean: 62.528384 | min: 6.751497 | max: 5963.987393
Concurrency: 200 | Throughput: 2433.546027 | median: 50.442506 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005439952s | size: 145626 | mean: 82.269222 | min: 7.034669 | max: 15719.829801
Concurrency: 200 | Throughput: 3846.638063 | median: 48.715081 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000446158s | size: 230400 | mean: 52.015129 | min: 7.015763 | max: 704.008575
Concurrency: 200 | Throughput: 3057.119584 | median: 46.934972 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000596959s | size: 183029 | mean: 65.489796 | min: 6.940867 | max: 6050.157430
Concurrency: 300 | Throughput: 4043.489153 | median: 70.483971 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002139447s | size: 242018 | mean: 74.250550 | min: 6.807100 | max: 823.356052
Concurrency: 300 | Throughput: 3770.626945 | median: 68.646249 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003284155s | size: 225650 | mean: 79.613562 | min: 6.997023 | max: 5898.557019
Concurrency: 300 | Throughput: 2935.888542 | median: 68.389644 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00261846s | size: 175561 | mean: 102.378706 | min: 7.176186 | max: 12680.067987

Concurrency: 300 | Throughput: 3370.581552 | median: 79.330659 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002998555s | size: 201644 | mean: 89.103049 | min: 6.759411 | max: 3234.237822
Concurrency: 600 | Throughput: 3346.468204 | median: 163.217452 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00146655s | size: 199595 | mean: 179.803590 | min: 8.950319 | max: 3445.665397
Concurrency: 600 | Throughput: 2973.269653 | median: 154.604493 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005321016s | size: 177212 | mean: 202.485000 | min: 11.137030 | max: 6354.701205
Concurrency: 600 | Throughput: 3748.511919 | median: 154.240907 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000876303s | size: 223714 | mean: 160.334395 | min: 8.509670 | max: 534.874352
Concurrency: 600 | Throughput: 2310.520695 | median: 161.308297 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m6.633032249s | size: 152760 | mean: 207.743447 | min: 9.348934 | max: 13831.228004
Concurrency: 600 | Throughput: 3098.101448 | median: 159.633343 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000294743s | size: 184687 | mean: 194.269338 | min: 7.389051 | max: 5075.105319
Concurrency: 800 | Throughput: 3294.123111 | median: 214.831813 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001704054s | size: 197454 | mean: 242.186239 | min: 6.915013 | max: 6164.912056
Concurrency: 800 | Throughput: 3465.876338 | median: 202.411364 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004737535s | size: 206369 | mean: 231.779035 | min: 0.064131 | max: 6001.384663
Concurrency: 800 | Throughput: 3009.391021 | median: 181.523620 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005495711s | size: 178979 | mean: 267.093869 | min: 10.602210 | max: 12367.476818
Concurrency: 800 | Throughput: 2923.776050 | median: 181.334002 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005621835s | size: 173843 | mean: 275.220002 | min: 7.403167 | max: 13373.091294
Concurrency: 800 | Throughput: 3692.244630 | median: 191.235192 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.013629167s | size: 219986 | mean: 217.561360 | min: 10.774166 | max: 6008.764332
Concurrency: 1000 | Throughput: 4195.025286 | median: 232.438555 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.009650205s | size: 249759 | mean: 238.951163 | min: 0.055584 | max: 3507.724937
Concurrency: 1000 | Throughput: 3388.961854 | median: 225.716195 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003921196s | size: 201527 | mean: 296.486448 | min: 0.055024 | max: 12857.212670
Concurrency: 1000 | Throughput: 3793.013920 | median: 227.098200 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.060944883s | size: 226608 | mean: 263.691334 | min: 0.054016 | max: 6569.732372
Concurrency: 1000 | Throughput: 3819.125580 | median: 226.500318 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004834923s | size: 227167 | mean: 262.890947 | min: 0.053725 | max: 6322.393673
Concurrency: 1000 | Throughput: 3552.821635 | median: 219.840589 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002730756s | size: 211655 | mean: 282.762740 | min: 0.063380 | max: 11588.078538
