

Concurrency: 10 | Throughput: 671.683358 | median: 8.910663 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m1.010890817s | size: 40960 | mean: 14.544512 | min: 6.401338 | max: 10509.707930
Concurrency: 10 | Throughput: 522.880774 | median: 8.790599 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000293734s | size: 31352 | mean: 19.130543 | min: 6.450249 | max: 15728.535148
Concurrency: 10 | Throughput: 463.250865 | median: 9.105139 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00420534s | size: 27778 | mean: 21.594622 | min: 6.445259 | max: 27841.838719
Concurrency: 20 | Throughput: 1208.483614 | median: 9.206143 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002468503s | size: 72472 | mean: 16.551925 | min: 6.422675 | max: 11107.757949
Concurrency: 20 | Throughput: 1525.055766 | median: 9.166905 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005018872s | size: 91471 | mean: 13.114130 | min: 6.427343 | max: 5134.027910
Concurrency: 20 | Throughput: 814.040136 | median: 9.239578 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m6.388618467s | size: 54015 | mean: 23.027988 | min: 6.482116 | max: 26974.866220

Concurrency: 20 | Throughput: 1373.182132 | median: 9.095530 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m4.088366679s | size: 87970 | mean: 12.635815 | min: 6.455541 | max: 12133.855202
Concurrency: 30 | Throughput: 1707.406248 | median: 10.232481 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001537504s | size: 102394 | mean: 17.573333 | min: 6.463015 | max: 10562.289694
Concurrency: 30 | Throughput: 2247.157628 | median: 10.200739 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002021367s | size: 134776 | mean: 13.345603 | min: 6.449111 | max: 5926.974144
Concurrency: 30 | Throughput: 1371.216881 | median: 13.690702 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000719881s | size: 82214 | mean: 21.886692 | min: 6.428652 | max: 12676.481803
