Concurrency: 10 | Throughput: 467.117174 | median: 8.841173 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006357266s | size: 28009 | mean: 21.412278 | min: 6.472775 | max: 14177.226810

Concurrency: 10 | Throughput: 261.461169 | median: 9.656165 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005086334s | size: 15670 | mean: 38.283772 | min: 6.371331 | max: 26946.062911
Concurrency: 10 | Throughput: 709.526806 | median: 8.382189 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001961393s | size: 42554 | mean: 14.094595 | min: 6.425239 | max: 13282.697333

Concurrency: 20 | Throughput: 324.602919 | median: 13.824097 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005621732s | size: 19455 | mean: 61.672671 | min: 6.547788 | max: 22500.753835
Concurrency: 20 | Throughput: 428.016940 | median: 12.170869 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m5.013781912s | size: 27811 | mean: 27.974352 | min: 6.583430 | max: 27488.334943




Concurrency: 30 | Throughput: 1329.395162 | median: 10.910346 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.916424477s | size: 80922 | mean: 17.503379 | min: 6.436940 | max: 14161.734326


Concurrency: 30 | Throughput: 1304.690190 | median: 12.516612 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00198406s | size: 78225 | mean: 23.001042 | min: 6.486222 | max: 12959.894343

Concurrency: 60 | Throughput: 1490.241128 | median: 15.953856 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005725469s | size: 89309 | mean: 40.300835 | min: 6.648508 | max: 13544.747833
Concurrency: 60 | Throughput: 2015.116499 | median: 18.969612 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.015884975s | size: 120832 | mean: 29.781021 | min: 6.677008 | max: 14111.695618

Concurrency: 60 | Throughput: 1412.922059 | median: 15.520032 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00260201s | size: 84680 | mean: 42.486819 | min: 6.552035 | max: 28060.969245


Concurrency: 80 | Throughput: 2786.278434 | median: 20.252253 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001900012s | size: 167022 | mean: 28.720537 | min: 6.753203 | max: 10286.076650
Concurrency: 80 | Throughput: 1450.644984 | median: 19.703398 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000896795s | size: 86881 | mean: 55.230264 | min: 6.766143 | max: 28193.073459
Concurrency: 80 | Throughput: 2213.888104 | median: 19.031409 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003032565s | size: 132699 | mean: 36.156460 | min: 6.682017 | max: 13836.712003
Concurrency: 100 | Throughput: 1735.196933 | median: 25.453090 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m2.001607983s | size: 107385 | mean: 32.437781 | min: 7.654271 | max: 27430.718500
Concurrency: 100 | Throughput: 337.297797 | median: 25.665647 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m7.089083375s | size: 22530 | mean: 62.375242 | min: 6.878356 | max: 53548.207006
