
Concurrency: 10 | Throughput: 307.434180 | median: 8.318181 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m7.285947218s | size: 20677 | mean: 28.718017 | min: 6.492499 | max: 21886.696470



Concurrency: 20 | Throughput: 1714.593631 | median: 9.042976 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000806094s | size: 102837 | mean: 11.662761 | min: 6.413946 | max: 7338.251099

Concurrency: 20 | Throughput: 538.382514 | median: 10.261633 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m3.81336523s | size: 34321 | mean: 35.027951 | min: 6.440932 | max: 25279.298425
Concurrency: 20 | Throughput: 830.848408 | median: 8.958224 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m5.558288925s | size: 54429 | mean: 19.435007 | min: 6.409766 | max: 13768.023994
Concurrency: 20 | Throughput: 1635.371024 | median: 8.841147 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002286044s | size: 98087 | mean: 12.229172 | min: 6.434387 | max: 12691.648916
Concurrency: 30 | Throughput: 1484.746847 | median: 11.301383 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002821496s | size: 89034 | mean: 20.212117 | min: 6.462552 | max: 11677.375674
Concurrency: 30 | Throughput: 2435.555403 | median: 10.002706 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006846814s | size: 146090 | mean: 12.315929 | min: 6.442640 | max: 3493.343828
Concurrency: 30 | Throughput: 1675.921406 | median: 9.876588 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001023683s | size: 100497 | mean: 17.905865 | min: 6.407015 | max: 11625.595053
Concurrency: 30 | Throughput: 1026.698055 | median: 9.895121 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001087679s | size: 61543 | mean: 29.240279 | min: 6.462253 | max: 12674.217034

Concurrency: 60 | Throughput: 3499.071713 | median: 14.045006 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000485044s | size: 209826 | mean: 17.145609 | min: 6.464370 | max: 6072.034171

Concurrency: 60 | Throughput: 2849.964425 | median: 15.176967 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.0018016s | size: 170883 | mean: 21.054750 | min: 6.534471 | max: 5740.379308

Concurrency: 60 | Throughput: 3039.739449 | median: 14.630727 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002511088s | size: 182272 | mean: 19.739739 | min: 6.595458 | max: 6313.829112
Concurrency: 80 | Throughput: 2016.920280 | median: 19.868399 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002371549s | size: 120860 | mean: 39.690900 | min: 6.815688 | max: 10149.833858

Concurrency: 80 | Throughput: 2281.466992 | median: 18.423311 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.007004481s | size: 136744 | mean: 35.086846 | min: 6.693000 | max: 13052.506353
