Concurrency: 1000 | Throughput: 6491.508187 | median: 149.961798 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.009167173s | size: 387554 | mean: 154.301436 | min: 0.046876 | max: 5609.070758
Concurrency: 10 | Throughput: 1158.677870 | median: 7.967835 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.008050402s | size: 69509 | mean: 8.628638 | min: 6.371120 | max: 53.459029
Concurrency: 10 | Throughput: 1171.556518 | median: 7.938178 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00222687s | size: 70276 | mean: 8.533073 | min: 6.392433 | max: 88.339841
Concurrency: 10 | Throughput: 1189.490259 | median: 7.820617 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000491344s | size: 71350 | mean: 8.405296 | min: 6.413036 | max: 57.971186
Concurrency: 10 | Throughput: 1191.021871 | median: 7.843380 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003096264s | size: 71445 | mean: 8.394167 | min: 6.383293 | max: 45.092824
Concurrency: 10 | Throughput: 1185.533409 | median: 7.868830 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001683193s | size: 71114 | mean: 8.432903 | min: 6.418300 | max: 50.266252
Concurrency: 10 | Throughput: 1140.410527 | median: 8.035709 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002076764s | size: 68409 | mean: 8.765815 | min: 6.428676 | max: 70.717986
Concurrency: 10 | Throughput: 1139.903084 | median: 8.021590 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001592187s | size: 68376 | mean: 8.770754 | min: 6.440848 | max: 55.777772
Concurrency: 10 | Throughput: 1163.380850 | median: 7.960873 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001847195s | size: 69786 | mean: 8.593293 | min: 6.419670 | max: 44.533030
Concurrency: 10 | Throughput: 1123.671656 | median: 8.090026 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004183306s | size: 67405 | mean: 8.897430 | min: 6.401776 | max: 47.504017
Concurrency: 20 | Throughput: 2150.086260 | median: 8.561743 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00177873s | size: 128969 | mean: 9.299745 | min: 6.396495 | max: 52.918801
Concurrency: 20 | Throughput: 2154.668785 | median: 8.542251 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001797433s | size: 129244 | mean: 9.279975 | min: 6.362270 | max: 66.566311
Concurrency: 20 | Throughput: 2190.824647 | median: 8.336986 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000694332s | size: 131411 | mean: 9.126237 | min: 6.409687 | max: 49.933418
Concurrency: 20 | Throughput: 2204.599958 | median: 8.324254 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000908339s | size: 132238 | mean: 9.070185 | min: 6.396319 | max: 63.922472
Concurrency: 20 | Throughput: 2194.643525 | median: 8.349573 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003366619s | size: 131646 | mean: 9.110297 | min: 6.375737 | max: 63.924260
Concurrency: 20 | Throughput: 2231.401716 | median: 8.248207 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000402015s | size: 133845 | mean: 8.962078 | min: 6.360886 | max: 59.814186
Concurrency: 20 | Throughput: 2203.526529 | median: 8.342175 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001546741s | size: 132175 | mean: 9.073672 | min: 6.387872 | max: 46.231357
Concurrency: 20 | Throughput: 2205.799653 | median: 8.342009 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001369502s | size: 132312 | mean: 9.064837 | min: 6.406919 | max: 51.668394
Concurrency: 20 | Throughput: 2193.264144 | median: 8.327664 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000524955s | size: 131558 | mean: 9.116514 | min: 6.380409 | max: 44.940898
Concurrency: 20 | Throughput: 2204.939952 | median: 8.309015 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000273435s | size: 132259 | mean: 9.068444 | min: 6.333170 | max: 48.041135
Concurrency: 30 | Throughput: 2989.081625 | median: 9.209673 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000703391s | size: 179287 | mean: 10.034598 | min: 6.418366 | max: 59.644386
Concurrency: 30 | Throughput: 2978.454712 | median: 9.194157 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001919545s | size: 178653 | mean: 10.070882 | min: 6.398425 | max: 52.039967
Concurrency: 30 | Throughput: 3022.585334 | median: 9.131625 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001283653s | size: 181300 | mean: 9.924191 | min: 6.379903 | max: 62.167011
