Concurrency: 10 | Throughput: 1143.728371 | median: 8.056207 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003757633s | size: 68609 | mean: 8.740441 | min: 6.419151 | max: 49.153227
Concurrency: 10 | Throughput: 1131.782615 | median: 8.121437 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006223013s | size: 67894 | mean: 8.832542 | min: 6.431815 | max: 300.247834
Concurrency: 10 | Throughput: 1124.432371 | median: 8.195485 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006276728s | size: 67453 | mean: 8.890440 | min: 6.428143 | max: 308.162572
Concurrency: 10 | Throughput: 1132.190207 | median: 8.196454 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001402245s | size: 67913 | mean: 8.830046 | min: 6.426234 | max: 43.842489
Concurrency: 10 | Throughput: 1143.921372 | median: 8.071956 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006746681s | size: 68623 | mean: 8.739214 | min: 6.425313 | max: 565.833366
Concurrency: 20 | Throughput: 2020.956243 | median: 8.907413 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00228874s | size: 121222 | mean: 9.892021 | min: 6.435744 | max: 301.357664
Concurrency: 20 | Throughput: 2028.217855 | median: 8.945547 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004895283s | size: 121663 | mean: 9.858331 | min: 6.387193 | max: 559.569270
Concurrency: 20 | Throughput: 2086.888171 | median: 8.717556 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002256815s | size: 125178 | mean: 9.580934 | min: 6.421698 | max: 300.288342
Concurrency: 20 | Throughput: 2055.694600 | median: 8.877628 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001130505s | size: 123304 | mean: 9.725817 | min: 6.456855 | max: 312.088773
Concurrency: 20 | Throughput: 2049.786388 | median: 8.925590 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000886297s | size: 122949 | mean: 9.754142 | min: 6.401269 | max: 57.874961
Concurrency: 30 | Throughput: 2110.765263 | median: 11.972107 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001461198s | size: 126589 | mean: 14.208015 | min: 6.515311 | max: 309.279181
Concurrency: 30 | Throughput: 2693.935624 | median: 9.879761 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001433788s | size: 161580 | mean: 11.132242 | min: 6.453980 | max: 560.282559
Concurrency: 30 | Throughput: 2479.156630 | median: 10.345804 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.006293359s | size: 148705 | mean: 12.093767 | min: 6.430690 | max: 346.379697
Concurrency: 30 | Throughput: 2524.588417 | median: 10.306718 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.008197364s | size: 151436 | mean: 11.871440 | min: 6.467895 | max: 327.908540
Concurrency: 30 | Throughput: 2466.244719 | median: 10.462979 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000533948s | size: 147916 | mean: 12.159608 | min: 6.465988 | max: 582.582363
