Concurrency: 10 | Throughput: 436.008626 | median: 20.290695 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003399977s | size: 26153 | mean: 22.935515 | min: 18.741980 | max: 403.732428
Concurrency: 10 | Throughput: 447.067597 | median: 20.213921 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002111983s | size: 26816 | mean: 22.357860 | min: 18.691779 | max: 402.310764
Concurrency: 10 | Throughput: 449.978020 | median: 20.610429 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.007375482s | size: 26993 | mean: 22.219907 | min: 18.665772 | max: 699.298227
Concurrency: 10 | Throughput: 448.926745 | median: 20.270565 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000880501s | size: 26927 | mean: 22.275113 | min: 18.754448 | max: 413.055184
Concurrency: 10 | Throughput: 452.095615 | median: 20.136269 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002793861s | size: 27117 | mean: 22.120659 | min: 18.685035 | max: 138.375248
Concurrency: 20 | Throughput: 938.040508 | median: 20.437195 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00060712s | size: 56245 | mean: 21.327601 | min: 18.731070 | max: 139.434574
Concurrency: 20 | Throughput: 929.944827 | median: 20.437541 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000333793s | size: 55757 | mean: 21.513159 | min: 18.709854 | max: 404.234137
Concurrency: 20 | Throughput: 927.737045 | median: 20.358828 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000837865s | size: 55625 | mean: 21.564854 | min: 18.763908 | max: 765.060894
Concurrency: 20 | Throughput: 929.404977 | median: 20.427218 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000754632s | size: 55726 | mean: 21.525645 | min: 18.705121 | max: 150.241960
Concurrency: 20 | Throughput: 933.541681 | median: 20.405144 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000534678s | size: 55984 | mean: 21.426797 | min: 18.718827 | max: 435.136148
Concurrency: 30 | Throughput: 1379.957403 | median: 20.940165 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001852084s | size: 82740 | mean: 21.746228 | min: 18.719809 | max: 450.529463
Concurrency: 30 | Throughput: 1362.299686 | median: 21.157754 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00368411s | size: 81683 | mean: 22.024935 | min: 18.743516 | max: 149.566002
Concurrency: 30 | Throughput: 1366.565031 | median: 21.040038 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000803577s | size: 81935 | mean: 21.959990 | min: 18.701778 | max: 752.631715
Concurrency: 30 | Throughput: 1370.810457 | median: 21.055977 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004648761s | size: 82196 | mean: 21.890760 | min: 18.744887 | max: 469.444524
Concurrency: 30 | Throughput: 1365.430484 | median: 21.093589 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000857595s | size: 81867 | mean: 21.978225 | min: 18.757585 | max: 424.172589
