Concurrency: 10 | Throughput: 429.192737 | median: 21.663988 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.012665105s | size: 25751 | mean: 23.290447 | min: 18.631162 | max: 436.980475
Concurrency: 10 | Throughput: 457.537801 | median: 20.503834 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001599718s | size: 27444 | mean: 21.855113 | min: 18.613030 | max: 403.207094
Concurrency: 10 | Throughput: 433.047333 | median: 20.766577 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.004987906s | size: 25977 | mean: 23.090581 | min: 18.688444 | max: 442.848800
Concurrency: 10 | Throughput: 475.894626 | median: 20.119326 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.00698147s | size: 28548 | mean: 21.010127 | min: 18.560640 | max: 137.059424
Concurrency: 10 | Throughput: 415.092361 | median: 20.855784 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.013149651s | size: 24902 | mean: 24.079183 | min: 18.584733 | max: 486.873682
Concurrency: 20 | Throughput: 934.592452 | median: 20.395846 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.010114454s | size: 56046 | mean: 21.404604 | min: 18.625058 | max: 426.619754
Concurrency: 20 | Throughput: 911.871948 | median: 20.622213 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001845798s | size: 54673 | mean: 21.941454 | min: 18.654631 | max: 400.788933
Concurrency: 20 | Throughput: 908.801531 | median: 20.646495 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.007601348s | size: 54494 | mean: 22.010959 | min: 18.615454 | max: 406.917529
Concurrency: 20 | Throughput: 919.674575 | median: 20.470506 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000571429s | size: 55142 | mean: 21.754273 | min: 18.642668 | max: 401.401559
Concurrency: 20 | Throughput: 909.697617 | median: 20.522427 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002355714s | size: 54545 | mean: 21.992608 | min: 18.666285 | max: 706.424491
Concurrency: 30 | Throughput: 1425.197759 | median: 20.616067 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.005005933s | size: 85473 | mean: 21.054466 | min: 18.615710 | max: 161.493469
Concurrency: 30 | Throughput: 1385.932007 | median: 20.812830 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001500473s | size: 83098 | mean: 21.652637 | min: 18.656845 | max: 429.929946
Concurrency: 30 | Throughput: 1397.134267 | median: 20.736130 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000675661s | size: 83769 | mean: 21.480323 | min: 18.673527 | max: 535.662852
Concurrency: 30 | Throughput: 1390.533845 | median: 20.880336 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003573658s | size: 83377 | mean: 21.581745 | min: 18.701388 | max: 430.970359
Concurrency: 30 | Throughput: 1352.707623 | median: 21.162537 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001140412s | size: 81105 | mean: 22.184543 | min: 18.678460 | max: 676.473457
Concurrency: 60 | Throughput: 2496.808734 | median: 23.130459 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001792661s | size: 149693 | mean: 24.037916 | min: 18.709652 | max: 690.919655
Concurrency: 60 | Throughput: 2487.439199 | median: 23.301193 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001466592s | size: 149130 | mean: 24.130506 | min: 18.754294 | max: 422.341750
Concurrency: 60 | Throughput: 2491.243916 | median: 23.233464 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.003759191s | size: 149364 | mean: 24.091632 | min: 18.743248 | max: 428.123819
Concurrency: 60 | Throughput: 2483.757295 | median: 23.280458 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000628996s | size: 148907 | mean: 24.166368 | min: 18.713430 | max: 495.281699
Concurrency: 60 | Throughput: 2489.038451 | median: 23.383257 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.009117158s | size: 149245 | mean: 24.111693 | min: 18.710446 | max: 162.993632
Concurrency: 80 | Throughput: 2989.197741 | median: 25.852361 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001048965s | size: 179196 | mean: 26.772109 | min: 18.829447 | max: 436.834274
Concurrency: 80 | Throughput: 3008.744832 | median: 25.795960 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002097239s | size: 180370 | mean: 26.597709 | min: 18.779307 | max: 197.334448
Concurrency: 80 | Throughput: 2974.648601 | median: 25.955725 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000364398s | size: 178320 | mean: 26.902457 | min: 18.746490 | max: 207.216456
Concurrency: 80 | Throughput: 2974.583430 | median: 25.916353 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002351329s | size: 178322 | mean: 26.903176 | min: 18.792182 | max: 551.504552
Concurrency: 80 | Throughput: 3008.935719 | median: 25.764896 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000284779s | size: 180377 | mean: 26.599115 | min: 18.647115 | max: 246.669449
Concurrency: 100 | Throughput: 3407.008164 | median: 28.357676 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002497833s | size: 204229 | mean: 29.361623 | min: 18.935741 | max: 517.624392
Concurrency: 100 | Throughput: 3536.709760 | median: 27.332906 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000399926s | size: 212004 | mean: 28.282968 | min: 18.839516 | max: 146.723219
Concurrency: 100 | Throughput: 3472.378081 | median: 27.573849 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000378735s | size: 208144 | mean: 28.805466 | min: 18.691227 | max: 466.284576
Concurrency: 100 | Throughput: 3519.086451 | median: 27.271268 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.002788484s | size: 210955 | mean: 28.424991 | min: 18.828960 | max: 477.869707
Concurrency: 100 | Throughput: 3543.940114 | median: 27.094130 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000731722s | size: 212439 | mean: 28.227345 | min: 18.755799 | max: 435.635615
Concurrency: 200 | Throughput: 5161.304909 | median: 37.262416 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000524186s | size: 309281 | mean: 38.758555 | min: 18.930219 | max: 491.919344
Concurrency: 200 | Throughput: 4887.018265 | median: 38.916311 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.001003501s | size: 292826 | mean: 40.940231 | min: 18.958483 | max: 239.845551
Concurrency: 200 | Throughput: 5072.949963 | median: 37.868299 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.028189165s | size: 304125 | mean: 39.414499 | min: 19.004100 | max: 193.671618
Concurrency: 200 | Throughput: 4862.977815 | median: 39.267049 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000684994s | size: 291382 | mean: 41.127008 | min: 19.406742 | max: 448.501745
Concurrency: 200 | Throughput: 4863.308273 | median: 39.240290 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000103556s | size: 291399 | mean: 41.141362 | min: 19.317200 | max: 840.072187
Concurrency: 300 | Throughput: 5632.045212 | median: 50.769603 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000228568s | size: 337324 | mean: 53.260036 | min: 19.629626 | max: 822.560443
Concurrency: 300 | Throughput: 5465.584662 | median: 51.501969 | Write Ratio: 0.500000 | Number of Keys: 1000 | Benchmark Time: 1m0.000534305s | size: 327354 | mean: 54.883444 | min: 19.902760 | max: 799.126379
