Concurrency | Throughput | Median | Average Median
-------------------------------------------------
10 | 889.22 | 9.12 | 8.67
10 | 901.47 | 9.74 | 8.67
10 | 1108.26 | 8.26 | 8.67
10 | 1124.74 | 8.20 | 8.67
10 | 1132.91 | 8.02 | 8.67
20 | 1869.26 | 7.95 | 8.09
20 | 1948.04 | 8.60 | 8.09
20 | 2156.97 | 7.96 | 8.09
20 | 2361.62 | 8.00 | 8.09
20 | 2387.98 | 7.96 | 8.09
100 | 2420.43 | 30.04 | 28.01
100 | 3049.26 | 26.98 | 28.01
100 | 3052.02 | 27.52 | 28.01
100 | 3167.79 | 28.89 | 28.01
100 | 3505.60 | 26.61 | 28.01
800 | 3547.87 | 174.88 | 171.82
800 | 3980.21 | 168.29 | 171.82
500 | 3998.59 | 108.25 | 107.89
200 | 4053.10 | 40.81 | 34.13
60 | 4062.70 | 12.63 | 12.79
1000 | 4063.75 | 218.04 | 218.08
1000 | 4241.19 | 226.65 | 218.08
60 | 4274.27 | 13.15 | 12.79
60 | 4378.97 | 12.69 | 12.79
500 | 4411.52 | 109.25 | 107.89
800 | 4411.55 | 173.38 | 171.82
1000 | 4425.67 | 212.84 | 218.08
60 | 4452.23 | 12.88 | 12.79
1000 | 4475.44 | 216.26 | 218.08
500 | 4482.90 | 109.98 | 107.89
60 | 4522.26 | 12.62 | 12.79
1000 | 4522.62 | 216.60 | 218.08
800 | 4533.71 | 173.97 | 171.82
800 | 4687.13 | 168.60 | 171.82
500 | 4713.29 | 104.09 | 107.89
200 | 4782.18 | 31.20 | 34.13
1500 | 4886.24 | 203.90 | 173.87
2000 | 5163.24 | 229.11 | 201.74
200 | 5272.48 | 32.56 | 34.13
200 | 5273.29 | 35.72 | 34.13
600 | 5374.06 | 96.75 | 84.98
2000 | 5418.17 | 196.67 | 201.74
3000 | 5428.09 | 237.38 | 221.97
2000 | 5432.26 | 223.46 | 201.74
300 | 5460.27 | 41.86 | 41.51
2000 | 5511.96 | 200.86 | 201.74
1500 | 5589.68 | 152.88 | 173.87
1500 | 5643.78 | 167.22 | 173.87
3000 | 5761.69 | 234.03 | 221.97
1500 | 5984.48 | 184.36 | 173.87
3000 | 6039.78 | 220.58 | 221.97
300 | 6218.70 | 40.91 | 41.51
200 | 6316.39 | 30.34 | 34.13
300 | 6353.33 | 41.57 | 41.51
600 | 6468.18 | 80.14 | 84.98
600 | 6583.79 | 88.08 | 84.98
3000 | 6594.96 | 211.36 | 221.97
1500 | 6642.96 | 160.99 | 173.87
2000 | 6680.55 | 158.59 | 201.74
3000 | 6705.64 | 206.51 | 221.97
300 | 6863.69 | 41.86 | 41.51
300 | 6951.40 | 41.35 | 41.51
600 | 6997.08 | 83.16 | 84.98
600 | 7513.82 | 76.77 | 84.98
